Original_text_block_one	Original_text_block_two	Original_text_block_three	Special_Command_Original_Text	Translation_block_one	Translation_block_two	Translation_block_three	Special_Command_Translation	READY_FOR_BETA_LEVEL_ONE	Historical_notes_level_two (broader historical context and slightly more detail)	Historical_notes_level_three (dive into specific topics, issues, or events; provide extended reading material or resources)
蒙古聯盟自治政府	成立を祝して31へ飛ぶ	昭和二三年十月二七日成立	成立を祝して31へ飛ぶ	Mongol United Autonomous Government	Celebrate its establishment, jump to 31	Established October 27, 1937	Celebrate its establishment, jump to 31	From the 1930s until 1945, Demchugdongrub (1902-1966), also known as Prince De, served as the leader of a series of Japanese client states. Demchugdongrub claimed that, as a Mongol noble and lineal descendant of Chinggis Khan, he worked with Japan in defense of his heritage and with the goal of creating an independent, unified Mongolia. The People's Republic of China rejected this logic, judged Demchugdongrub as a traitor, and imprisoned him from 1950 to 1963.    	Demchugdongrub was already a high ranking official before the creation of the state. His goal was to create an independent state for the Inner Mongolians. 	Flag - Blue = “heaven, a symbol of traditional Mongolian veneration for Mongke Tenggeri, or the everlasting heaven” Red = fire → holiness and prosperity, Yellow = “Mongolian religious faith, Shira-yin Shashin, or the Yellow Sect of Tibetan Buddhism” (149), White - holiness and abundanceClaimed that Prince De designed the flag himself with Prince Khorjurjab
從軍記者	第一線に從軍して30まで進出	NA	第一線に從軍して30まで進出	War Correspondent	Follow the front line and advance to tile 30	NA	Follow the front line and advance to tile 30	Newspapers relied heavily on war correspondents in the early years of WWII, and their stories almost always followed government guidelines and extolled Japanese heroism. Under the March 1938 National Mobilization Law, stories unfavorable to the Japanese Army were censored. Subsequent revisions of the National Mobilization Law in 1940 and 1941 effectively eliminated freedom of the press.	NA	NA
日獨伊防共協定	昭和十二年十一月六日成立	NA	NA	Japan, Germany and Italy form Anti-Comintern Pact	Established November 6th, 1937	NA	NA	Japanese leaders created the Anti-Comintern Pact for two reasons. Japan was afraid of the Soviet Union and the spread of Communism to China, and saw the pact as a way to counter this perceived threat. By joining forces with Germany, Japan also aimed to improve its military capabilities. The pact thus aimed to enhance bilateral relations between Japan and Germany, to present a unified front against the spread of Communism in Asia, and to enhance Japanese military power. However, it is important to note that the relationship between Germany and Japan was unstable, even despite the agreement.	##[Maybe some period examples of enthusiasm or criticism]##. The domestic political climate in Japan during the time of the Anti-Comintern Pact was quite complex. There were a number of different opinions and perspectives on the issue, with some groups being in favor of the pact, and others being opposed to its existence. The government and military favored the pact, believing it would solidify Japan's position as a major world power and help secure its territorial interests, especially in Asia. They saw this as an important step in helping Japan assert itself as a major power. However, there were many wary of the pact, including intellectuals and members of the general public. They worried that aligning with Nazi Germany might harm Japan's reputation and international standing, and were concerned about the impact this might have on Japan's relationships with other countries, particularly the Soviet Union##	NA
白衣の天使	次の人にお茶を飲ませる	NA	次の人にお茶を飲ませる	Angels in White	Serve tea to the next player	NA	Serve tea to the next player	The Japanese Red Cross Society emerged in 1887 under its first president, Sano Tsunetami 佐野常民 (1822-1902). The relief organization grew from another group that he founded in 1877 known as the Hakuaisha 博愛社. With a new pool of educated women emerging from 1910s reform, it is likely that the Society was among many other employers who sought them out for nursing, clerical, and other forms of "feminine" work.	Originally a politician, Sano Tsunetami supported the Japanese government in the Satsuma Rebellion by utilizing his privileged education in Western Learning, which included Western medicine from the Dutch East India Company as well as military science, especially in Western-style ships and guns. He not only incorporated this knowledge to help found a naval base in the Saga domain, but to found the Hakuaisha for wounded soldier relief.	 To gain recruits, Japanese medical officer Ishiguro Tadanori would hold lectures that illustrated the Red Cross purpose: ‘The responsibility of the Red Cross is to honour those diseased and injured in warfare and to support them with loving care.’ He demonstrated the organization’s sense of humanity through Buddhist, Shintoist, and Confucianist concepts. Sano Tsunetami, however, utilized his lecture tours to frame the Red Cross’s sense of humanity through the lens of nationalism, appealing to the inevitability of war as part of human nature and a desire to protect the nation. Sure enough, the number of recruits increased by almost twentyfold in 1897, two years after the war between China and Japan.                                                                                                    More women received secondary education in the 1910s because of the “good wife, wise mother” ideology that women needed education to raise intellectual children of the Modern Japanese future. Also, more women entered the Japanese workforce post WWI due to price increases from the war economy, socio-economic hardships, and a higher demand from employers who sought the now larger pool of educated women for clerical, teaching, nursing, and other more "feminine" types of work.
上海占領	更に一回賽を振って進撃する	昭和十二年十一月十日占領	更に一回賽を振って進撃する	Occupation of Shanghai	Roll again and continue attacking	Occupied November 10, 1937	Roll again and continue attacking	The occupation of Shanghai by the Japanese Empire occurred on November 10, 1937 after a bloody three month battle at Shanghai. Despite China having a numerical and landscape advantage, and the support of Western nations, the country failed to keep their hold on Shanghai. The Battle of Shanghai and the subsequent occupation of Shanghai further divided the two nations apart, and what seemed to be an end of the war was instead another deep step into what would later be known as WWII.	The battle between Japan and China illustrated the consequences of a mechanized war. Shanghai became a battlefield holding two vast armies with both holding destructive weapons. Although there had been other instances of modernized warfare before, the aftermath of the Battle of Shanghai produced scenes of flattened housing complexes and gutted factories that horrified the global public. Citizens and stateless people that lived in Shanghai or in areas near the city witnessed the scenes of the carnage up close. Even though the Battle of Shanghai is considered to be separated from the overarching context of World War II, the battle continues to create friction between the two nations today.	Today, many critics debate whether the Battle of Shanghai and the subsequent Japanese occupation of the city was a prologue or the beginning of World War II. Many argue that this event was the first major battle that divided mankind into fascist regimes or democratic and totalitarian nations. For many westerners, the invasion of Poland in 1939 by Adolf Hitler is considered to be the start of World War II, but for the Eastern world, the events in 1937 mark the beginning of World War II. Furthermore, very little of the records left behind and writings today on World War II touch on the events of Shanghai in 1937, leaving a rather gaping hole in historiography.
大本營設置	昭和十二年十一月二十日設置	NA	NA	Establishment of Imperial Headquarters	Established November 20, 1937	NA	NA	On November 20th, 1937, a coordination body centralized war guidance between the commander-in-chief and government liaison agencies. However, Japan had already been at war for 4 months with little organization. This body consisted of the Chief of General Staff, Chief of the Naval General Staff, Prime Minister, Minister of Foreign Affairs, Minister of War, as well as other cabinet ministers. Its name was changed to the Supreme War Guidance Council on August 5, 1944 and was later abolished following the end of WWII.	The establishment of the Imperial Headquarters was brought about by the abolition of the Wartime Imperial Headquarters Ordinance. The Wartime Imperial Headquarters Ordinance, first promulgated on May 22, 1893, stated that Imperial Headquarters could only be set up in times of war. On November 18, 1937, with the outbreak of full-scale war between China and Japan, the Wartime Imperial Headquarters Ordinance was abolished and the Imperial Headquarters Ordinance was eneacted by military ordinance. This new ordinance would allow Imperial Headquarters to be set up in the event of an emergency. On November 20, 1937, the Imperial Headquarters was established in the Imperial Palace and continued until the end of World War II. Among the most prominent meetings held during that time was the Imperial Conference attended by the emperor. At this conference, decisions were made on supreme/highest (最高) national policies including the opening of war against the United States and Great Britain.	NA
無言の戦士	馬か、犬か、鳩の鳴き真似をする	NA	馬か、犬か、鳩の鳴き真似をする	Wordless Warriors	Make the sound of a horse, dog, or pigeon	NA	Make the sound of a horse, dog, or pigeon	The theme of animals as soldiers and the phrase "wordless warriors" were popular in 1938-39 and appeared in articles, books, and songs.	将兵の蔭に無言の戦士 : 讃へよ軍馬の功績 (1938) 銀座書房編輯部 編無言の戰士の感激美談（着色七頁）/西條八十 ; 宮本三郞 / 147～153 (0098.jp2) 婦人の友　１９３８主婦の友 22(10);10月特大號	NA
愛国公債	NA	NA	NA	Patriot Bonds	NA	NA	NA	After the July 7th Incident, the Japanese government issued the "General Mobilization of the National Spirit" and the "General National Mobilization Law" to strengthen the state's control over society. In turn, factories and enterprises established industrial press unions to realize the true integration of labor and management. The labor unions explicitly stated in their programs that "industry serves the nation," stipulating that workers should not be absent from work for personal reasons and should strive to reduce accidents, save materials, use waste, increase labor productivity, and save money every month to raise "national defense contributions."	NA	NA
慰問文	「兵隊さん有り難う」を三回いう	NA	「兵隊さん有り難う」を三回いう	Letters of Thanks	Say "Thank you, soliders" three times	NA	Say "Thank you soliders" three times	Schools, civic organizations, and mass media all promoted letter writing campaigns. This square shows children writings letters of thanks to soldiers, but letters to berieved families were encouraged as well. As WWII dragged on, enterprising publishers sold guide sample letters of thanks or condolence. 	After an initial burst of enthusiasm, fueled by expectations of a quick Japanese victory, letter writing dropped off sharply. In response, in Janaury 1939, the Ministry of Education began a national campaign encouraging elementary and middle-school children to write their soldier fathers. The Asahi Shinbun newspaper reported on this campaign with the title "Dad, Dont' Worry!" By 1942 such campaigns had disappeared, replaced by campaigns to conserve paper as part of the war effort.	NA
婦人國民使節	４２へ進む	昭和十二年十二月七日主婦之友遣米使節山田わか女史米國大続領夫人と會見	４２へ進む	Women's National Envoy	Go to tile 42	On December 7, 1937, Ms. Yamada Waka, envoy from The Woman's Friend Magazine, meets with the First Lady of the United States	Go to tile 42	Yamada Waka, a prominent Japanese feminist, is depicted shaking hands with First Lady Eleanor Roosevelt as part of an attempt to foster "friendliness and cooperation" between Japan and the U.S. This was a real meeting that took place on December 7, 1937. Yamada and other Japanese journalists attempted to justify their country's imperialistic actions in China, claiming that they were fighting a righteous war against communism.	Yamada Waka's feminism took its inspiration from Western notions of "mother's rights." From her pioneering efforts in the 1910s sprouted a Mother-Child Protection Law in 1937 that provided financial aid for households with single mothers and an absent father. She complimented the emerging “good wife, wise mother” ideology among Japanese feminists that women needed education to raise intellectual children of the Modern Japanese future. Thus, the government began to support women’s education because it fostered nationalism among women and encouraged them to instill it into their children. Through this framework, Yamada and other like-minded feminists harnessed nationalist ideology for the betterment of women's lives, which might explain how she as an intellectual could still justify imperialism.	NA
南京陥落	皆で萬歳を唱へて乾盃する	昭和十二年十二月十三日	皆で萬歳を唱へて乾盃する	The Fall of Nanjing	Everyone raise a glass and chant "Banzai!"	December 13, 1937	Everyone raise a glass and chant "Banzai!"	This is a disturbing image, but for what it omits rather than what it shows. The game depicts the Japanese Army’s seizure of Nanjing as a fireworks celebration, without any civilian or military casualties. But the Japanese Army committed murder, rape, and arson on a massive scale for weeks.	Japanese military discipline began to collapse during the occupation of Shanghai and Nanjing. Even sympathetic Japanese observers were alarmed by the army’s behavior. In April 1938 an army psychologist reported that Japanese troops “carouse and act indecently with low-class prostitutes, brandish their swords for no reason and injure people, discharge their pistols, eat and drink without paying [in restaurants], and act in ways so regrettably contrary to the expectations of those back home in Japan. In truth, Shanghai has become the Japanese army’s city of crime and Nanjing can hardly be any better. Truly, this only speaks of the decline of the Japanese army.” While some commanders sought to discipline their troops, many others acted as though Japan was no longer bound by international agreements on war crimes and let their troops terrorize the civilian population. Our goal in this project is not to assess the scope of Japanese attrocities, but to show how private media sanitized the war for domestic consumption.	NA
宣撫班	両隣の人の頭を撫でる	NA	両隣の人の頭を撫でる	Pacification Squads	Pat the head of the person to each side of you	NA	Pat the head of the person to each side of you	Japan's pacification squads were propaganda units dispatched to occupied territories in China to convey their "friendly" intentions and "stabilize the minds" of the residents. 	The newly established Provisional Government of the Republic of China created the pacification squads in order to help achieve their five goals of stability, promotion of Asian culture and morality, defeat of both the Nationalist and Communist parties, and the realization of a friendly alliance between China and Japan. Pacification squads worked to assist residents of occupied territories to prevent hostile actions directed toward military administration, thus promoting a cooperative attitude when military administration was implemented in the designated territories. Japan's pacification efforts were heavily focused in the region of Manchuria. To ensure the success of the occupied territories and the achievements of military objectives, the pacification squads disseminated propaganda through numerous forms of media such as movies, radio, plays, newspapers, and pamphlets. Other methods of pacification included the guarantee of food, clothing, shelter, hygiene, and medical care for the residents. Female groups of local Chinese housewives and daughters were organized to reach out to Chinese families and became good points of contact with residents. The women carried out public relations activities to promote partnership and cooperation between Japan, Manchukuo, and China.	NA
陣中の正月	「兵隊さんお目出度う」をいう	NA	「兵隊さんお目出度う」をいう	New Year's on the Front	Say "Congratulations soldier"	NA	Say "Congratulations soldier"	How did the Japanese Army celebrate New Year's Day during the war? In 1938, print media gave conflicting and contradictory messages. On one hand, they assured families that all was well. On the other, they suggested them to donate to the war effort rather than throw extravagant parties. 	NA	NA
酷寒と戦ふ	一回休み	NA	一回休み	Fighting the Extreme Cold	Skip your next turn	NA	Skip your next turn	During WWII, the Japanese Army faced extreme cold while fighting in northern China. The harsh weather conditions severely impacted their operations, health, and morale.	Japanese soldiers faced harsh, frigid conditions while fighting in the northern regions of China, particularly during the winter months. The extreme cold had a profound impact on the troops, severely affecting their operations, health, and morale.Soldiers had to contend with numerous challenges related to the cold weather, such as keeping warm, maintaining their equipment, and ensuring their weapons functioned properly. Supplies of proper winter clothing and gear were often insufficient, leaving many soldiers vulnerable to the elements. The extreme cold also affected the soldiers' ability to carry out military operations. Troops had to deal with frozen ground, making it difficult to dig trenches and establish defensive positions. Vehicles and other equipment were prone to malfunctioning or breaking down in the low temperatures. Communication lines often froze, hampering the ability of commanders to coordinate their forces effectively.	NA
慰問袋	2が出れば47へ進む	NA	2が出れば47へ進む	Comfort Bags	If a 2 is rolled, go to tile 47	NA	If a 2 is rolled, go to tile 47	A Japanese soldier holds an imonbukuro 慰問袋, or a comfort bag, possibly made for him by a mother, sister, female student, or a woman from a patriotic association. These bags usually contained an imon ningyō, or a hand-made comfort doll, alongside food, clothing, letters, and other items. Wives, mothers, volunteers, and students alike were mobilized into creating these through pervasive propaganda at home, school, and work.	The imon ningyō, or comfort dolls, in particular were a key part of the comfort bag phenomenon because they mimicked a sense of intimacy that attached the recipient to the giver, regardless of whether he received it from a family member or a patriotic stranger. As women were the primary givers, they offered a sense of nostalgia for the female "home" sphere that male soldiers had been removed from while simultaneously instilling a sense of duty and obligation to the empire. Women were encouraged by propoganda in home magazines, home economics teachers, and a variety of media to create these dolls as part of their own responsibility for Japan's victory against the evil West. Such preoccupations allowed Japan to distinguish itself from the violence caused by its own colonial pursuits.	NA
中華民国臨時政府	昭和十二年十一二月十四日北京に成立	NA	NA	Provisional Government of the Republic of China	Established in Beijing on December 14, 1937	NA	NA	A provisional government was established by the Japanese Army as a buffer zone between Manchukuo and China. The man pictured, Wang Kemin, was designated as the first chief executive due to his favorable views of the Japanese. This provisional government only lasted until March, 1940 when it was replaced by another, larger puppet state known as the Reorganized National Government of the Republic of China, thus further increasing Japan's buffer area.	Wang Kemin was a Chinese politician and financier who held various positions in the Beijing government such as Finance General and Governor of the Bank of China. He studied economics in Japan and was widely viewed as a pro-Japanese politician in the North China government. His favorable relationship with Japan is believed to be the reason for his appointment as the leader of the Provisional Government of the Republic of China in Beijing. When the Provisional Government was replaced by Wang Jingwei's Reorganized National Government of the Republic of China, Wang Kemin became Chairman of the North China Political Council. After Japan's surrender in World War II, Wang Kemin was arrested by the government of China and tried for treason. Wang Kemin would die in prison (Possibly suicide. Only source stating suicide is Wikipedia thus far).	There are more layers of information to be explored around Wang Jingwei and his collaborationist government, as well as small details such as flag or anthem if deemed pertinent. Don't want to overwhelm players with too much information.
日支親善	NA	NA	NA	Friendly Relations between Japan and China	NA	NA	NA	By 1938 the Japanese government did not recognize either the Chinese Nationalist Party (Guomindang 国民党) or the Chinese Communist Party. In order to have "friendly relations" Japan constructed a series of client states, such as the "Reformed Government of the Republic of China" 中華民國維新政府. 	NA	NA
徐州大會戰	次に来た人に敬禮する	昭和十三年五月二十九日、寺内（北支）畑（中支）兩最高指揮官の歴史的會見	次に来た人に敬禮する	The Great Battle of Xuzhou	Salute the next player	On May 29th, 1938, a historic meeting took place between Supreme Commanders Terauchi (North China) and Hata (Central China)	Salute the person who comes next	The Battle of Xuzhou was a military conflict in 1938 between the Japanese Army and the Guomindang - the nationalist government of China. The two men pictured are Hata Shunroku and Terauchi Hisaichi. Though the conflict resulted in a Japanese victory, the Japanese Army was unable to successfully contain and capture the remaining Chinese forces. This failure prolonged the war as the Chinese forces that evaded capture played a significant role in subsequent battles.	From April to June 1938, a large scale operation between the Japanese and Chinese armies took place near Xuzhou. The Japanese army had adopted a non-expansion policy in earlier in February 1938. However, due to the proximity to Taieruzhuang, a large contingent of roughly 400,000 soldiers of the Chinese Army were in the vicinity of Xuzhou. In a bid to swiftly stamp out the Chinese forces, the North China Army began its offensive first in mid-April and the Central China Army (Central China Expeditionary Force) began its offensive in early May. The two armies encircled Xuzhou from the north and south. On May 19th, Xuzhou was occupied, but the main forces of the Chinese army slipped through the net of the combined Japanese forces, allowing them to escape and retreat. On June 12th, the Chinese army destroyed the embankment of the Yellow River, causing significant flooding that foiled the Japanese efforts to pursue the retreating Chinese forces.	NA
勤勞奉仕	御苦勞様３３へ戻る	NA	御苦勞様３３へ戻る	Volunteering for the Good of the Empire	Thank you for your hard work. Return to tile 33	NA	Thank you for your hard work. Return to tile 33	Japan promoted citizen-led labor throughout its colonies in order to mobilize grassroots support for the war effort. While it was labeled as volunteer work, there was societal pressure to contribute, especially in the face of labor shortages during the height of WWII. The labor force consisted of lower-income families, women, and students, including elementary school children.	Throughout Japan's colonies, elementary school aged students were mobilized into the war effort through a division of labor between masculine construction projects and feminine cleaning and sewing duties. June 1938 saw the implementation of the Task Concerning the Establishment of Labor Duties for Students, the earliest recorded project that Japan instituted for Korean public schools. The empire promoted volunteering as a means of minimal state intervention into citizen-led labor that fostered nationalism on a grassroots level. 	Volunteer efforts would increase tremendously in 1942 as the Japanese government sought to mitigate a labor shortage by formally mobilizing women into war production. The Women's Labor Volunteer Corps, established 1943, called for school-aged Korean girls to spend at least a year devoted to fueling the empire's war industries. While the Corps targeted middle-class girls in principle, it was mostly upheld by lower-income families in need of not only higher wages to support themselves, but an opportunity to acquire social capital through patriotic work. Women's employment ranged from manufacturing and construction work to textile production, though the latter was more common.
空の軍神南郷少佐	ほかの人は皆な一つ戻る	昭和十三年七月十八日南昌大空爆の華と散る	ほかの人は皆な一つ戻る	War God of the Sky Lieutenant Commander Nango	All the other players go back 1 tile	On July 18, 1938 he fell in glory in a massive air strike on Nanchang  	All the other players go back 1 tile	During the war, many soldiers were mythologized and celebrated to supercharge Japanese nationalism. The man depicted, Mochifumi Nango, was one of these fighters who was depicted in popular imagery to encourage patriotic support for the war and its heroes. Often, these people were granted superfluous or extravagant titles, such as “War God of the Sky”, to highlight their supposed prowess in the battlefield. Mochifumi was a lieutenant ace fighter pilot and died in an air raid in Nanchang, China.	NA	Nango had a younger brother, Shigeo Nango. He survived the war 
遡江艦隊	47にほかの人の待札があれば進めない	NA	47にほかの人の待札があれば進めない	Yangtze Fleet	If there is another player on tile 47, you may not proceed.	NA	If there is another player on tile 47, you may not proceed.	The Yangtze Fleet was a loose assortment of gunboats that the Japanese army deployed in China, starting in the late 19th century and leading into WWII.  Futami - a prominent gunboat  - is emblematic of what these vessels would do: safeguard Japanese citizens, trade, and investments in the region. Importantly, these battleships were often decisive in conflicts such as the Battle of Nanchang and they supported the army's further entrechment into cities such as Hankou (also known as Hankow and Wuhan). 	The Japanese Yangtze Fleet, active during the late 19th and early 20th centuries, was a naval detachment assigned to patrol the Yangtze River in China. Comprised of various warships and support vessels, the fleet was tasked with safeguarding Japanese citizens, trade, and investments in the region. The fleet's presence also served to project Japanese power and influence in China during a period of intense imperial rivalry among major world powers.	The Japanese Yangtze Fleet, established during the late 19th and early 20th centuries, was a specialized naval detachment deployed along the Yangtze River in China to protect and advance Japanese interests in the area. The fleet, consisting of a mix of warships, gunboats, and support vessels, conducted patrols and provided support to Japanese diplomatic, commercial, and consular activities in the region.During this period, the Yangtze River was a crucial trade route and a strategic location for international influence in China. As a result, several major powers, including the United States and European nations, maintained their own naval forces along the river. The Japanese Yangtze Fleet's presence signified Japan's growing status as an imperial power and its commitment to asserting its influence in the region.The fleet played a vital role in several incidents and military actions, including the Boxer Rebellion (1899-1901), the Russo-Japanese War (1904-1905), and the Second Sino-Japanese War (1937-1945). Throughout these conflicts, the Japanese Yangtze Fleet protected Japanese citizens and assets, maintained open trade routes, and contributed to Japan's larger strategic objectives in China.
少年少女愛国の歌	「少年少女愛国の歌」かまたは「少年少女愛国の童謠」を唄う	昭和十三年「主婦之友」十一月號に發表	「少年少女愛国の歌」かまたは「少年少女愛国の童謠」を唄う	Boys and Girls Patriotic Songs	Sing from "Boys and Girls Patriotic Songs" or ""Boys and Girls Patriotic Nursery Rhymes	Published in the November 1938 issue of Fujin no Tomo	Sing from "Boys and Girls Patriotic Songs" or ""Boys and Girls Patriotic Nursery Rhymes	In this tile, the magazine used patriotism as a marketing tool, sending readers back to the November issue to get the lyrics. Supporting the war effort meant buying and keeping every issue of "The Housewife's Friend" 	Lyrics pending	NA
戦利品	NA	NA	NA	Spoils of War	NA	NA	NA	The "spoils of war" shown here (flags, guns, and artillery shells) are valuable mostly as propanganda — evidence of ongoing Japanese victory. In the 1930s there were public exhibits of such trophies, intended to boast morale on the home front. At the front, however, soldiers used "spoils of war" to refer to whatever they seized from civilians, including livestock and food.   	NA	NA
廢物獻品	袂かボケットに入ってゐる物を出して見せる	NA	袂かボケットに入ってゐる物を出して見せる	Offering of Unused Goods	Take out and show what's in your pockets	NA	Take out and show what's in your pockets	Coinciding with the war was an increase in the demand for munitions. To create much of this weaponry and artillery materials, waste - such as salvaged bronze, copper, and brass - was absolutely critical. Because these materials were so vital to accumulate, the Japanese Ministry of Commerce and Industry promoted waste salvaging in Japan and throughout the rest of controlled territories. 	The Japanese government initiated widespread salvaging of waste to stimulate "spiritual mobilization" throughout the Japanese empire. Many of the salvaging efforts were taken up by local associations which later came into conflict with the professional scrap trade. The Japanese also relied on Korean waste traders due to their specialized expertise and cheap labor cost. This trade with Korean waste traders was however pushed out after a series of discriminatory measures in 1945. In general, those part of the wartime salvage efforts, such as the large scrap wholesalers, provided the foundations for the post war Japanese recycling industry today.	In order to establish the ideological and material purpose of wartime waste salvaging, the Japanese Ministry of Commerce and Industry took Nazi Germany as their prime example. In 1938, Japan implemented a "German" waste system where it monitored, licensed, and identified waste trade. This system would allow Japan to prevent criminal activity, impose prices, and keep production costs as low as possible. Although this waste system was a way to exclude Jewish scrap dealers and benefit "Aryan" Germans for Nazi Germany, the Japanese had no comparable ideological motivations.
飯塚部隊長	一囘休み	昭和十三年九月三日盧山の大山獄戰で戰死	一囘休み	Commander Iizuka	Take a break (for one turn)	Killed in action on September 3, 1938 in the Battle of Lushan	Take a break (for one turn)	Iizuka Kunigorō 飯塚国五郎 (1887-1938), a regimental commander of the 101st infantry, is barely remembered today, but in 1938, he was a celebrated figure whose heroism was extolled in books, newspapers, and even songs. The Asahi Shinbun newspaper celebrated his military courage as well as his purported kindness towards Chinese children. Iizuka died in combat in Jiangxi Province in September 1938.	NA	NA
傷病兵慰問	得意な歌を皆に唄って聴かせる	NA	得意な歌を皆に唄って聴かせる	Visit Sick and Wounded Soldiers	Sing your best song	NA	Sing your best song	Children are depicted visiting a sickly, injured soldier in the hospital. This image mimics a postcard series produced during "Home Front Support Strengthening Week", started in October of 1938 in aims of promoting public attention and respect towards military casualties. Such effort was born from the government's anxiety the nation would lose interest in supporting the military. 	In these postcards, soldiers were rarely depicted in rough condition because such jarring illustrations could deter the audience at home from supporting the military. Illustrations also favored young girls over young boys, as a young boy standing next to a wounded soldier might frighten families from sending their sons into military service. Nonetheless, boys and girls alike were expected to complete school assignments that instilled appreciation for the Japanese military throughout Home Front Support Strengthening Week.	In February 1934, Japan grew concerned that public interest in the military would wane once financial aid for servicemen fell back to its peacetime levels. As a result, the government created a centalized coordinating committee that oversaw private-sector military support services. One service included the Japanese Red Cross Society for direct patient care, and another, Aikoku Fujinkai, carved out a space for upper middle class women to visit soldiers in military hospitals, inculcating the imperial feminine ideal of a woman who nurtures the wounded for the health of the empire. 
軍人傷痍記章	昭和十三年八月三日公布さる	NA	NA	Wounded Soldier Medals	Promulgated/Issued on August 3, 1938	NA	NA	The Japanese Military Wounded Soldier Badge, awarded in Senshō (gilt) and Kōshō (silver) classes, honored soldiers wounded in combat or non-combat situations during wartime. The design of the badge featured cherry blossoms and rays of the rising sun with a warrior depicted in the center, symbolizing the fleeting nature of a warrior's life and the Japanese spirit. The badge was presented in a red pressed cardboard or wooden box with gold or silver lettering, accompanied by a registration card, which documented the soldier's personal information and the circumstances surrounding the award.	In World War II, the Japanese Military Wounded Soldier Badge was awarded to both army and navy personnel who sustained injuries or contracted illnesses during their service. The badge, measuring approximately 31mm high, was issued in two classes: Senshō (gilt) for those wounded in combat situations and Kōshō (silver) for those injured in non-combat situations, such as accidents or due to diseases like malaria. The design of the badge featured cherry blossoms and rays of the rising sun with  a warrior depicted in the center, symbolizing the fleeting nature of a warrior's life and the Japanese spirit. The badge was presented in a red pressed cardboard or wooden box with gold or silver lettering, accompanied by a registration card, which documented the soldier's personal information and the circumstances surrounding the award	NA
張鼓峯事件	49へ戻る	昭和十三年七月三十一日、滿ソ國境に於て日ソ兩軍衝突	49へ戻る	The Battle of Lake Khasan	Return to tile 49	On July 31, 1938, there was a military conflict between Japanese and Soviet armed forces at the Manchuria-Soviet border.	Return to tile 49	The Battle of Khasan was a military conflict fought between the Soviet Union and Japan from July to August, 1938. This conflict took place along the border of Manchuria and Korea and resulted in Soviet victory. It is important to note that the Japanese Army engaged with the Soviets more after this battle, where in 1939, they fought the Batte of Khalkhin Gol against the Red Army. This arouses some confusion about what was the exact plan of the Japanese Army; were they seeking war with the USSR or China? At the time, there were disagrements within the military on what conflicts to pursue. The Battle of Khasan being fought is one example exemplfying those internal disputes.	The Battle of Khasan occurred during a period of heightened tension between the Soviet Union and Japan. It started over a disputed section of the border near Lake Khasan in the Far East region of Russia, where both countries had conflicting claims to the territory. The Japanese, seeing the area as being within their sphere of influence, decided to take control of it by force. This led to a military conflict that lasted for several days and involved intense fighting between the two sides. Both the Japanese and Soviet military suffered significant casualties in the battle, but in the end, the Japanese were unable to gain control of the disputed territory and were forced to retreat. The battle marked one of the first direct conflicts between the two countries, showed the Soviet determination to protect its territorial interests, and escalated tensions between the two nations leading to further confrontations in the future. The battle also highlighted the power of Soviet military technology and tactics, which had a lasting impact on Japanese military strategy	NA
輸送部隊	6が出れば上り	NA	6が出れば上り	Transportation Corps	If a 6 is rolled, advance to the final tile	NA	If a 6 is rolled than advance to the finish 	As horses fell out of favor in combat scenarios, horses were used primarly for the transportation of cargo.	After the Russo-Japanese war, war horses were seen as vital and a horse-breeding bureau was created in 1906. During its use Japan bred more than one million horses. Upon entering the 1930s, most nations either mechanized their cavalry, reduced its size, or dissolved it entirely. However, Japan retained their four cavalry brigades and would integrate them later in the decade. Three brigades were sent to Manchuria between 1936-1937 in the Kwatung Army while the last brigade remained in Japan until their demobilization in 1939-1940. Cargo horses were seldom used because of environmental challenges. When they were used, they appeared in small numbers for use in reconassaince and supply transportation.	NA
